,CellLabel,NodeLabelLobe,NodeLabelNeck1,NodeLabelNeck2,LobeLength,NeckWidth
305,62.0,11.0,10.0,19.0,1.4150904564726596,14.365
306,62.0,21.0,19.0,24.0,9.505569420082104,7.514
307,62.0,31.0,24.0,32.0,1.56270598642227,11.662854924931546
308,62.0,35.0,32.0,40.0,3.0781738092576902,13.210181414348556
309,62.0,41.0,40.0,47.0,1.547,10.445611231517283
310,62.0,7.0,47.0,10.0,4.447539207247082,18.976424663249922
311,63.0,6.0,1.0,7.0,1.4825130690823607,9.492715364952222
312,63.0,10.0,7.0,15.0,4.245271369417979,8.84
313,63.0,22.0,15.0,1.0,9.62809524257005,9.410033634371345
314,64.0,17.0,6.0,20.0,4.152213024400361,19.773017094009706
315,64.0,24.0,20.0,29.0,4.245271369417979,11.771232603257825
316,64.0,32.0,29.0,37.0,3.5635179247479587,12.425232432433608
317,64.0,42.0,37.0,43.0,1.1268833125040054,9.492715364952222
318,64.0,48.0,43.0,51.0,3.2630258963115817,13.267364621506413
319,64.0,56.0,51.0,60.0,4.6985244492287155,10.83801665435148
320,64.0,0.0,60.0,6.0,1.8882248277151743,11.536538692346157
321,65.0,17.0,12.0,22.0,4.245271369417979,13.497293432388583
322,65.0,34.0,22.0,36.0,3.984134159387708,18.951958051874218
323,65.0,37.0,36.0,54.0,1.683085856395924,24.619439676808245
324,65.0,64.0,54.0,65.0,1.56270598642227,16.207001511692408
325,65.0,66.0,65.0,69.0,0.442,6.854563589317704
326,65.0,76.0,69.0,77.0,1.3442905191959065,12.534811406638713
327,65.0,83.0,77.0,86.0,3.315,12.565944174633279
328,65.0,0.0,86.0,12.0,6.681367674361291,20.717497628816083
329,66.0,10.0,7.0,11.0,0.988342046054907,6.854563589317704
330,66.0,16.0,11.0,23.0,6.808091435931218,12.999609994149823
331,66.0,25.0,23.0,27.0,1.1268833125040054,6.593063779457924
332,66.0,32.0,27.0,33.0,0.911206343261503,9.061
333,66.0,39.0,33.0,43.0,4.985987264323887,13.305962009565485
334,66.0,45.0,43.0,48.0,1.976684092109814,7.020012037026717
335,66.0,1.0,48.0,7.0,6.732343425583696,15.759330093630249
336,67.0,5.0,4.0,6.0,1.1901214223767254,2.873
337,67.0,11.0,6.0,17.0,7.594815402628295,8.908794811869896
338,67.0,19.0,17.0,22.0,2.0849098301845093,7.215573851053013
339,67.0,23.0,22.0,25.0,0.4941710230274535,5.239145159279326
340,67.0,28.0,25.0,30.0,1.1901214223767254,8.41542928197962
341,67.0,34.0,30.0,4.0,5.467238059569017,11.05
342,68.0,26.0,12.0,34.0,12.50164789137816,17.65926909586011
343,68.0,36.0,34.0,42.0,2.0375193250617283,12.082456248627594
344,68.0,46.0,42.0,47.0,1.2886403687608114,7.0512508110263665
345,68.0,54.0,47.0,58.0,4.682906042192177,15.374993983738662
346,68.0,0.0,58.0,12.0,3.28540119315739,15.343194582615448
347,69.0,8.0,3.0,12.0,7.023489873275252,8.011059480493202
348,69.0,14.0,12.0,16.0,1.7817589623739793,6.593063779457924
349,69.0,0.0,16.0,3.0,4.35880132605284,6.526051792623163
350,70.0,6.0,2.0,7.0,1.4150904564726596,7.983577205739292
351,70.0,8.0,7.0,12.0,192.21690186349377,6.851
352,70.0,17.0,12.0,2.0,7.19523870347607,5.377162076783626
353,71.0,16.0,12.0,18.0,2.3802428447534507,8.66703282559839
354,71.0,24.0,18.0,25.0,1.250164789137816,11.746311123071788
355,71.0,29.0,25.0,30.0,1.105,7.956
356,71.0,34.0,30.0,39.0,3.12541197284454,12.517265196519567
357,71.0,41.0,39.0,52.0,3.005924982430533,18.57583551283764
358,71.0,71.0,52.0,12.0,20.897066325204598,13.421088182409054
359,72.0,3.0,1.0,5.0,2.3492622246143577,5.489526117981406
360,72.0,8.0,5.0,10.0,2.6611924019130972,6.764910716336173
361,72.0,12.0,10.0,14.0,2.253766625008011,6.593063779457924
362,72.0,0.0,14.0,1.0,0.911206343261503,2.9650261381647214
363,73.0,15.0,5.0,22.0,11.985048226853324,12.886403687608114
364,73.0,25.0,22.0,26.0,1.3977267257944237,5.733235822814199
365,73.0,30.0,26.0,32.0,1.326,9.746576065470375
366,73.0,35.0,32.0,37.0,1.56270598642227,7.971332448217173
367,73.0,40.0,37.0,44.0,2.9650261381647214,11.203632000382733
368,73.0,0.0,44.0,5.0,1.547,8.84276206849421
369,74.0,12.0,8.0,14.0,2.0965900886916353,8.683922155339717
370,74.0,20.0,14.0,24.0,4.892043540280483,16.15115416928462
371,74.0,29.0,24.0,31.0,3.094,10.187596625308641
372,74.0,32.0,31.0,45.0,1.683085856395924,21.655744780542644
373,74.0,58.0,45.0,61.0,4.193180177383271,21.385675673216404
374,74.0,62.0,61.0,66.0,0.937623591853362,8.41542928197962
375,74.0,71.0,66.0,76.0,4.867020135565498,12.46447836854796
376,74.0,0.0,76.0,8.0,5.800986898795756,16.704150172936064
377,75.0,5.0,4.0,7.0,1.1901214223767254,4.353195148393878
378,75.0,10.0,7.0,12.0,2.187788380991178,6.735969789124652
379,75.0,15.0,12.0,17.0,2.577280737521623,6.332334561597326
380,75.0,0.0,17.0,4.0,4.5560317163075155,7.023489873275252
381,76.0,4.0,2.0,5.0,0.937623591853362,5.000659156551264
382,76.0,6.0,5.0,11.0,1.976684092109814,9.40224494469273
383,76.0,13.0,11.0,14.0,0.6988633628972118,4.882049569596769
384,76.0,17.0,14.0,18.0,0.7968268318775416,6.904260713501482
385,76.0,19.0,18.0,23.0,1.105,8.949817875241932
386,76.0,0.0,23.0,2.0,1.547,6.412809212817733
387,77.0,6.0,4.0,8.0,0.937623591853362,6.883005884059667
388,77.0,11.0,8.0,14.0,2.470855115137268,9.595065658972846
389,77.0,15.0,14.0,21.0,1.4825130690823607,9.92779623078556
390,77.0,28.0,21.0,33.0,5.967,13.924753857788655
391,77.0,35.0,33.0,39.0,1.989,9.734040271130995
392,77.0,42.0,39.0,46.0,2.6611924019130972,10.006200577641847
393,77.0,1.0,46.0,4.0,2.652,11.052209779044189
394,78.0,11.0,5.0,17.0,9.62809524257005,4.941710230274536
395,78.0,0.0,17.0,5.0,8.322051309623127,4.941710230274536
396,79.0,9.0,5.0,10.0,1.2886403687608114,7.517249297449168
397,79.0,15.0,10.0,23.0,8.257241427983077,10.506220062420166
398,79.0,0.0,23.0,5.0,7.543193289317197,6.633682310753207
399,80.0,7.0,3.0,12.0,3.802227768032841,12.999609994149823
400,80.0,13.0,12.0,21.0,1.683085856395924,13.952785600015504
401,80.0,27.0,21.0,31.0,6.032126076268632,13.569471986779737
402,80.0,37.0,31.0,47.0,9.157510414954492,12.939356552781131
403,80.0,49.0,47.0,54.0,2.3802428447534507,8.908794811869896
404,80.0,61.0,54.0,62.0,1.105,12.64150908713038
405,80.0,63.0,62.0,65.0,0.7968268318775416,5.340706320328801
406,80.0,69.0,65.0,72.0,3.2630258963115817,8.996084537175047
